#time,s ray1,V ray2,V
#
0.000000000000000000e+00 -9.009752593000001312e-04 -1.043197736500000141e-03
7.999999999999971051e-07 -9.493091145999999142e-04 -1.574591192499999849e-03
1.599999999999994210e-06 -7.778062421000002304e-04 -8.764319875000000639e-04
2.399999999999991421e-06 -3.161073653000000348e-04 -1.167326444999999791e-04
3.200000000000002820e-06 -5.007626675999999949e-04 -8.587801674999999413e-04
3.999999999999999819e-06 -1.191109276499999854e-03 -1.284703577500000398e-03
4.799999999999997242e-06 -1.318652570199999648e-03 -1.192508531499999937e-03
5.599999999999993817e-06 -1.019681123199999827e-03 -1.434014815999999724e-03
6.399999999999991240e-06 -4.216585100000000701e-04 -3.713426904999999343e-04
7.200000000000002215e-06 -2.545516417999999685e-04 3.270027600000003081e-05
7.999999999999986085e-06 -8.393432506999998124e-04 -1.214358134000000132e-03
8.799999999999997061e-06 -1.331769276499999771e-03 -1.078328929000000550e-03
9.599999999999994483e-06 -1.046013974199999901e-03 -7.315280879999999262e-04
1.039999999999999021e-05 -6.063468037000000095e-04 -8.983572929999999318e-04
1.120000000000000288e-05 -4.788222249000000487e-04 -3.625580879999999403e-04
1.200000000000000030e-05 -4.656790931000000244e-04 -5.382222469999998647e-04
1.279999999999999603e-05 -9.009614040000000481e-04 -1.376961895499999571e-03
1.359999999999999346e-05 -1.195495982799999997e-03 -1.227660213500000224e-03
1.439999999999999088e-05 -7.470262421000000135e-04 -6.919297240000000159e-04
1.519999999999998830e-05 -3.953330887999999504e-04 -5.997463600000000391e-04
1.599999999999999928e-05 -5.316278079999999266e-04 -2.396714059999999257e-04
1.679999999999999500e-05 -8.041923867999999217e-04 -6.084640210000000996e-04
1.759999999999999412e-05 -1.090012267899999939e-03 -1.622826589999999984e-03
1.840000000000000340e-05 -1.169198995700000080e-03 -9.510503055000001310e-04
1.919999999999998897e-05 -7.778429698999998840e-04 -4.241640209999999567e-04
1.999999999999999825e-05 -3.336937908000001682e-04 -5.866385314999999394e-04
2.079999999999999736e-05 -4.919732292000000579e-04 -3.363159164999999780e-04
2.159999999999999309e-05 -8.613491146000001398e-04 -9.641385315000000622e-04
2.240000000000000576e-05 -1.089956404000000118e-03 -1.627128623500000149e-03
2.319999999999998794e-05 -8.964748165999998283e-04 -1.012419815999999854e-03
2.400000000000000061e-05 -3.072993523999999958e-04 -2.264593725000000105e-04
2.479999999999999634e-05 -3.776987907999999612e-04 -7.270365439999999096e-04
2.559999999999999207e-05 -8.394192550000000594e-04 -8.587019414999999415e-04
2.639999999999999118e-05 -8.745755400999999287e-04 -9.904185314999998987e-04
2.720000000000000046e-05 -8.877356804999998394e-04 -1.666677385000000068e-03
2.799999999999998603e-05 -6.546665228999999208e-04 -5.513465439999996453e-04
2.879999999999999531e-05 -2.677675057000000768e-04 -8.147977000000001017e-05
2.960000000000000798e-05 -3.953157993999998959e-04 -9.729140209999998781e-04
3.039999999999999015e-05 -8.130566848000000610e-04 -1.060770748999999985e-03
3.119999999999999944e-05 -8.790411232000000085e-04 -1.183673669499999814e-03
3.199999999999998500e-05 -6.767968252000000368e-04 -1.385672828500000061e-03
3.279999999999999767e-05 -4.920729483999998922e-04 -5.381936694999999967e-04
3.359999999999999001e-05 -2.853689312000000670e-04 -1.605815900000000002e-04
3.439999999999998913e-05 -4.876319441000000893e-04 -1.253941100499999985e-03
3.520000000000000180e-05 -9.493128294999998371e-04 -1.073865167499999784e-03
3.600000000000000091e-05 -1.094388693399999703e-03 -7.972839749999999833e-04
3.679999999999999325e-05 -7.162366632999999727e-04 -1.012472782500000064e-03
3.759999999999999237e-05 -3.073010587000001600e-04 -1.956806570000000549e-04
3.839999999999999149e-05 -2.061710586999999950e-04 -3.449623850000000150e-04
3.919999999999998383e-05 -5.008316632999999709e-04 -1.174958623499999712e-03
3.999999999999999650e-05 -6.943208209000002176e-04 -9.817760084999999255e-04
4.079999999999999561e-05 -1.798500974000001010e-04 -4.020954730000000530e-04
4.159999999999999473e-05 1.367431963000000062e-04 -4.240217114999999333e-04
4.240000000000000062e-05 4.752794813999999422e-04 1.906958000000085784e-06
4.319999999999998619e-05 2.264683596000000194e-03 -4.986773850000000841e-04
4.399999999999999886e-05 1.111049114470000036e-02 -1.548138715500000078e-03
4.479999999999999797e-05 2.634879000000000041e-02 5.726434100000000549e-04
